               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076242,            0.048597,            0.065384,             0.24593,             0.34072,             0.23439,             0.10872,            0.049497,            0.024077,            0.042505,             0.00156,             0.00156,             0.08596
                   1,             0.05569,            0.036048,            0.037346,             0.52071,             0.67385,             0.60958,             0.29632,            0.053347,            0.020217,            0.021357,           0.0031299,           0.0031299,             0.07183
                   2,            0.052142,            0.033263,            0.022644,             0.65689,             0.66003,             0.69613,             0.38086,            0.045518,            0.019595,            0.014216,           0.0046995,           0.0046995,              0.0577
                   3,            0.051806,            0.032602,            0.018566,             0.66085,             0.58839,             0.64591,             0.32795,            0.047895,             0.02063,            0.015046,           0.0062686,           0.0062686,            0.043569
                   4,            0.047032,            0.032683,            0.017593,             0.59957,             0.51453,             0.53065,             0.28747,            0.046202,            0.024869,            0.020401,           0.0078369,           0.0078369,            0.029437
                   5,            0.048197,             0.03535,             0.01997,             0.57592,             0.51324,             0.50822,             0.25724,            0.046351,            0.025486,            0.020697,           0.0094042,           0.0094042,            0.015304
                   6,            0.046912,            0.038313,            0.022131,             0.52435,             0.43526,              0.4336,             0.21951,            0.047334,            0.027777,            0.024083,           0.0099911,           0.0099911,           0.0099911
                   7,            0.045036,            0.039749,            0.023311,             0.51446,             0.45289,             0.44495,             0.22478,            0.046562,            0.027282,            0.022113,           0.0099911,           0.0099911,           0.0099911
                   8,            0.043686,            0.039144,             0.02303,             0.62912,             0.49636,             0.54027,             0.28458,             0.04356,            0.026009,            0.019369,           0.0099879,           0.0099879,           0.0099879
                   9,             0.04324,            0.038183,            0.020488,             0.60545,             0.51395,             0.54306,             0.29556,            0.044503,            0.026535,            0.019357,           0.0099842,           0.0099842,           0.0099842
                  10,            0.041757,            0.037239,            0.017843,             0.61382,             0.55912,             0.57078,              0.3082,            0.043241,            0.025883,            0.019641,             0.00998,             0.00998,             0.00998
                  11,            0.040162,            0.035763,            0.016952,             0.66943,             0.53077,             0.58277,             0.32424,             0.04237,            0.025729,            0.017107,           0.0099753,           0.0099753,           0.0099753
                  12,            0.039379,            0.035507,            0.016991,             0.64579,             0.55937,             0.58655,             0.31804,            0.042973,            0.025813,            0.017669,           0.0099702,           0.0099702,           0.0099702
                  13,            0.038778,            0.035411,            0.015369,             0.63818,             0.57413,             0.59793,             0.33835,             0.04141,            0.025278,            0.016846,           0.0099645,           0.0099645,           0.0099645
                  14,            0.038134,            0.035134,             0.01445,             0.68221,             0.53485,             0.59439,             0.33674,            0.042079,            0.025023,            0.016744,           0.0099584,           0.0099584,           0.0099584
                  15,            0.037471,            0.033909,            0.014272,             0.66241,             0.56666,              0.6077,             0.34722,            0.040919,            0.025243,            0.016554,           0.0099517,           0.0099517,           0.0099517
                  16,            0.037457,            0.033654,             0.01404,             0.67904,             0.57777,             0.62591,             0.36215,            0.040561,            0.024971,            0.016217,           0.0099446,           0.0099446,           0.0099446
                  17,            0.036996,            0.033185,            0.012782,             0.67342,             0.60118,             0.64112,             0.37947,            0.039898,            0.025253,            0.015732,            0.009937,            0.009937,            0.009937
                  18,            0.035593,            0.031896,            0.012358,             0.64941,             0.60448,             0.63105,             0.36528,            0.040294,            0.025144,            0.016146,           0.0099289,           0.0099289,           0.0099289
                  19,            0.035136,             0.03193,            0.011674,             0.69308,             0.58203,             0.62093,             0.36468,            0.039699,            0.025463,            0.015812,           0.0099203,           0.0099203,           0.0099203
                  20,            0.035301,            0.031466,            0.012552,             0.70718,             0.60908,             0.64563,             0.37465,            0.040454,            0.025444,            0.016298,           0.0099112,           0.0099112,           0.0099112
                  21,             0.03482,            0.032387,            0.012207,             0.66898,             0.58837,             0.62659,             0.36845,            0.039511,            0.025442,            0.015696,           0.0099017,           0.0099017,           0.0099017
                  22,            0.034917,             0.03191,            0.011436,              0.7068,             0.60527,             0.64898,             0.39148,            0.039456,            0.025611,            0.014311,           0.0098916,           0.0098916,           0.0098916
                  23,            0.033897,            0.031785,            0.011221,             0.71773,             0.58726,             0.64501,              0.3841,             0.04051,            0.026005,            0.015763,           0.0098811,           0.0098811,           0.0098811
                  24,            0.033668,            0.031083,            0.010813,             0.72586,             0.61456,              0.6759,             0.40762,            0.039269,            0.025003,            0.014595,           0.0098701,           0.0098701,           0.0098701
                  25,             0.03295,             0.03001,            0.010311,              0.6922,             0.63889,             0.66213,             0.39268,            0.040426,            0.025644,            0.015158,           0.0098586,           0.0098586,           0.0098586
                  26,            0.033223,            0.029997,            0.010267,             0.75167,             0.61897,             0.67655,             0.41647,            0.039001,            0.025276,            0.014314,           0.0098467,           0.0098467,           0.0098467
                  27,            0.032804,             0.02947,           0.0094848,             0.75389,             0.60002,             0.66678,             0.39991,            0.039564,            0.025885,            0.014193,           0.0098342,           0.0098342,           0.0098342
                  28,            0.032224,            0.028834,           0.0091705,             0.71245,             0.62416,             0.66983,             0.40908,            0.038547,            0.025711,            0.014583,           0.0098213,           0.0098213,           0.0098213
                  29,            0.032101,            0.029034,           0.0093901,             0.74258,             0.61455,             0.66663,              0.4062,            0.039286,            0.025635,            0.014394,           0.0098079,           0.0098079,           0.0098079
